class_name,num_calls_out,num_calls_in,num_deps_unique,num_has_autowired,num_db_columns,num_db_fk_out,num_db_fk_in,num_db_relations,num_log_frequency,num_is_controller,num_is_service,num_is_repository
Owner,0.5519406934110241,0.0,0.0,0.0,1.439424345369761,0.0,0.0,0.0,2.1081851067789197,-0.6324555320336758,0.0,0.0
PetController,2.6983767233427853,0.0,0.0,0.0,1.019592244636914,0.0,0.0,0.0,0.6324555320336759,1.5811388300841895,0.0,0.0
PetValidator,-0.23508585089728815,0.0,0.0,0.0,-1.0795682590273208,0.0,0.0,0.0,-0.8432740427115677,-0.6324555320336758,0.0,0.0
Vet,-0.37818158622607223,0.0,0.0,0.0,0.17992804317122005,0.0,0.0,0.0,-0.10540925533894592,-0.6324555320336758,0.0,0.0
Visit,-0.8074687922124244,0.0,0.0,0.0,0.5997601439040671,0.0,0.0,0.0,-0.10540925533894592,-0.6324555320336758,0.0,0.0
PetClinicApplication,-0.8074687922124244,0.0,0.0,0.0,-1.0795682590273208,0.0,0.0,0.0,-0.8432740427115677,-0.6324555320336758,0.0,0.0
PetClinicRuntimeHints,-0.020442247904112063,0.0,0.0,0.0,-1.0795682590273208,0.0,0.0,0.0,-0.8432740427115677,-0.6324555320336758,0.0,0.0
VetController,0.19420135508906403,0.0,0.0,0.0,0.17992804317122005,0.0,0.0,0.0,-0.10540925533894592,1.5811388300841895,0.0,0.0
VisitController,-0.09199011556850409,0.0,0.0,0.0,0.5997601439040671,0.0,0.0,0.0,-0.10540925533894592,1.5811388300841895,0.0,0.0
OwnerController,1.6967065760412967,0.0,0.0,0.0,1.439424345369761,0.0,0.0,0.0,2.1081851067789197,1.5811388300841895,0.0,0.0
Pet,-0.8074687922124244,0.0,0.0,0.0,1.019592244636914,0.0,0.0,0.0,0.6324555320336759,-0.6324555320336758,0.0,0.0
PetTypeFormatter,-0.5928251892192483,0.0,0.0,0.0,-1.0795682590273208,0.0,0.0,0.0,-0.8432740427115677,-0.6324555320336758,0.0,0.0
CacheConfiguration,-0.7359209245480324,0.0,0.0,0.0,-1.0795682590273208,0.0,0.0,0.0,-0.8432740427115677,-0.6324555320336758,0.0,0.0
WebConfiguration,-0.6643730568836403,0.0,0.0,0.0,-1.0795682590273208,0.0,0.0,0.0,-0.8432740427115677,-0.6324555320336758,0.0,0.0
